"No.","Response ID","Timestamp","Finished","Survey ID","Formbricks ID (internal)","User ID","Tags","url","country","userAgent - os","userAgent - device","userAgent - browser","1. Genere","1. Genere - Option ID","2. Età","2. Età - Option ID","3. Professione","3. Professione - Option ID","4. Familiarità con app di delivery di cibo.","5. Deliveroo 1 - Fastidioso/Piacevole","6. Deliveroo 2 - Incomprensibile/Comprensibile","7. Deliveroo 3 - Creativo/Privo di Fantasia","8. Deliveroo 4 - Facile da Apprendere/Difficile da Apprendere","9. Deliveroo 5 - di Grande Valore/di Poco Valore","10. Deliveroo 6 - Noioso/Appassionante","11. Deliveroo 7 - Non Interessante/Interessante","12. Deliveroo 8 - Imprevedibile/Prevedibile","13. Deliveroo 9 - Veloce/Lento","14. Deliveroo 10 - Originale/Convenzionale","15. Deliveroo 11 - Ostruttivo/di Supporto","16. Deliveroo 12 - Buono/Scarso","17. Deliveroo 13 - Complicato/Facile","18. Deliveroo 14 - Repellente/Attraente","19. Deliveroo 15 - Usuale/Moderno","20. Deliveroo 16 - Sgradevole/Gradevole","21. Deliveroo 17 - Sicuro/Insicuro","22. Deliveroo 18 - Attivante/Soporifero","23. Deliveroo 19 - Conforme alle Aspettative/Non Conorme alle Aspettative","24. Deliveroo 20 - Inefficiente/Efficiente","25. Deliveroo 21 - Chiaro/Confuso","26. Deliveroo 22 - Non Pragmatico/Pragmatico","27. Deliveroo 23 - Ordinato/Sovraccarico","28. Deliveroo 24 - Invitante/Non Invitante","29. Deliveroo 25 - Congeniale/Ostile","30. Deliveroo 26 - Conservativo/Innovativo","31. Con che probabilità coinsiglieresti l'applicazione di Deliveroo ad un amico o collega?","32. Glovo 1 - Fastidioso/Piacevole","33. Glovo 2 - Incomprensibile/Comprensibile","34. Glovo 3 - Creativo/Privo di Fantasia","35. Glovo 4 - Facile da Apprendere/Difficile da Apprendere","36. Glovo 5 - di Grande Valore/di Poco Valore","37. Glovo 6 - Noioso/Appassionante","38. Glovo 7 - Non Interessante/Interessante","39. Glovo 8 - Imprevedibile/Prevedibile","40. Glovo 9 - Veloce/Lento","41. Glovo 10 - Originale/Convenzionale","42. Glovo 11 - Ostruttivo/di Supporto","43. Glovo 12 - Buono/Scarso","44. Glovo 13 - Complicato/Facile","45. Glovo 14 - Repellente/Attraente","46. Glovo 15 - Usuale/Moderno","47. Glovo 16 - Sgradevole/Gradevole","48. Glovo 17 - Sicuro/Insicuro","49. Glovo 18 - Attivante/Soporifero","50. Glovo 19 - Conforme alle Aspettative/Non Conorme alle Aspettative","51. Glovo 20 - Inefficiente/Efficiente","52. Glovo 21 - Chiaro/Confuso","53. Glovo 22 - Non Pragmatico/Pragmatico","54. Glovo 23 - Ordinato/Sovraccarico","55. Glovo 24 - Invitante/Non Invitante","56. Glovo 25 - Congeniale/Ostile","57. Glovo 26 - Conservativo/Innovativo","58. Con che probabilità coinsiglieresti l'applicazione di Glovo ad un amico o collega?"
11,"cmq40zrq8ky3pt501stw14o36","2026-06-07 16:58:04","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Windows","desktop","Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","2","3","3","3","6","5","2","2","3","2","4","4","5","2","3","4","2","3","6","3","2","6","4","3","6","4","3","6","6","6","2","2","3","6","6","5","2","2","4","2","6","5","5","6","2","2","2","6","2","4","2","2","2","6","9"
12,"cmq40cyjfnuo2w601hj94lcd2","2026-06-07 16:40:20","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Windows","desktop","Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Tra i 25 e i 45 Anni","xd34v3vmcfbvts59957wuvov","Impiegato","x35rf0a10qtavyoqf24yroxy","2","5","3","4","3","5","4","4","3","4","5","6","6","5","4","5","5","7","6","5","5","4","4","3","5","5","3","7","4","7","5","6","5","4","4","6","5","4","6","4","6","4","5","4","6","4","5","6","5","4","5","5","5","4","7"
13,"cmq3zfn7qkhqst501vl0ypzb4","2026-06-07 16:14:25","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Windows","desktop","Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Impiegato","x35rf0a10qtavyoqf24yroxy","3","5","5","4","4","5","5","4","4","2","3","5","3","3","5","5","4","3","4","3","5","2","5","3","2","3","5","8","4","3","5","5","3","3","3","4","2","5","5","3","3","5","4","4","3","5","3","5","3","5","3","3","3","5","6"
14,"cmq3ucumriu8ft5010skomo94","2026-06-07 13:52:17","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Femmina","a7edyt96uj1mwyu8ebdxblzx","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","2","5","5","6","3","3","4","4","6","4","4","5","4","5","4","4","5","2","4","3","5","4","4","5","3","4","4","7","5","6","4","3","3","4","4","6","4","6","5","4","5","5","4","5","2","4","2","6","3","4","4","4","3","4","9"
15,"cmq3tu47dkrcrue01ivcpi6et","2026-06-07 13:37:43","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","3","5","6","4","3","5","4","4","6","4","6","5","4","6","4","2","4","3","4","3","4","3","4","4","4","4","3","7","5","6","4","6","6","4","4","6","4","4","5","3","6","4","5","5","2","4","2","5","4","4","4","4","3","4","8"
16,"cmq3m8xnlgsygvt01rwqi3rfl","2026-06-07 10:05:17","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","macOS","desktop","Safari","Femmina","a7edyt96uj1mwyu8ebdxblzx","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","3","4","5","4","4","5","3","3","6","4","6","5","3","6","4","2","4","2","4","2","4","5","4","6","5","4","3","6","5","5","4","5","5","4","4","6","4","3","4","3","5","4","5","4","2","4","2","5","4","4","4","3","3","4","8"
17,"cmq2fqtakad8nue01ow5snot7","2026-06-06 14:15:28","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Linux","desktop","Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","2","3","4","3","5","4","4","3","4","5","5","3","4","3","4","4","4","5","3","4","5","5","3","3","4","4","4","4","5","5","3","5","4","4","4","5","3","4","5","3","6","5","5","5","4","3","3","5","3","4","5","4","5","4","8"
18,"cmq12hurpyeu2ue019d0l1nov","2026-06-05 15:16:49","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","iOS","mobile","Mobile Safari","Femmina","a7edyt96uj1mwyu8ebdxblzx","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","1","2","6","7","2","4","4","4","6","5","7","5","6","6","1","3","2","3","7","2","7","4","3","7","5","6","2","6","7","7","1","1","1","6","5","7","2","1","6","2","4","6","7","6","2","2","1","4","3","3","1","1","2","7","8"
19,"cmpy4d9zb4n76uw017jget8h4","2026-06-03 13:45:56","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","iOS","mobile","Mobile Safari","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","2","4","5","5","3","2","4","4","5","3","5","6","3","5","4","4","4","4","4","2","5","3","5","4","4","2","4","5","4","6","3","2","3","4","4","6","2","3","5","3","6","4","5","5","4","4","2","6","2","5","4","3","3","5","5"
20,"cmpxun3zghomasm013j7g8y6o","2026-06-03 09:13:39","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Meno di 25 Anni","jagutwt5wzn5kyq5nb5clkwp","Studente","dts3rrrx2twcc2783uebnts7","2","4","4","5","3","6","2","3","4","3","5","5","5","4","4","3","5","3","4","3","3","5","3","5","5","3","4","6","5","6","4","3","4","4","3","5","3","4","5","3","6","4","3","5","5","4","3","6","3","5","3","4","3","4","8"
21,"cmpx2r4se0uwyt501yrhd5lqm","2026-06-02 20:12:57","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Più di 45 Anni","sqdpuhjkboal5bhmv9okbt2v","Impiegato","x35rf0a10qtavyoqf24yroxy","1","5","4","4","5","4","4","4","6","5","5","5","3","5","5","3","5","3","4","2","5","3","5","3","4","3","2","6","5","5","3","2","3","4","5","5","2","5","5","2","6","5","5","5","2","3","2","5","2","5","3","3","2","5","7"
22,"cmpwxdx189w5muj01px24vnsc","2026-06-02 17:42:42","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Maschio","zpzzg7wuv1e3tvz356uzjl6v","Più di 45 Anni","sqdpuhjkboal5bhmv9okbt2v","Altro","w19a6tecmod2o51tpugoohlu","1","6","7","2","1","3","6","7","4","2","2","6","1","7","6","6","6","1","2","1","7","1","6","2","2","2","6","9","6","6","6","1","1","6","6","2","2","2","6","1","6","6","6","6","2","2","1","7","1","6","2","2","1","6","9"
23,"cmpwvo4c15qecsz011to2a51k","2026-06-02 16:54:39","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Femmina","a7edyt96uj1mwyu8ebdxblzx","Più di 45 Anni","sqdpuhjkboal5bhmv9okbt2v","Disoccupato","pps3fmbio69qiz5z3gmr22na","1","4","3","4","3","4","4","5","5","3","4","5","3","5","5","5","5","3","3","3","5","3","4","3","3","3","5","7","6","6","2","2","2","5","5","5","2","2","5","2","6","5","5","5","2","2","2","6","2","5","2","2","2","6","9"
24,"cmpwvm3hy5snhsd01oj9zwg0u","2026-06-02 16:53:05","Yes","bxj487icdzk2txkuwesu6hji","","","","https://app.formbricks.com/s/bxj487icdzk2txkuwesu6hji","IT","Android","mobile","Mobile Chrome","Femmina","a7edyt96uj1mwyu8ebdxblzx","Più di 45 Anni","sqdpuhjkboal5bhmv9okbt2v","Impiegato","x35rf0a10qtavyoqf24yroxy","1","4","4","3","4","3","3","3","5","5","5","4","4","4","4","4","4","4","4","4","5","4","5","5","3","5","4","6","5","5","3","4","4","4","4","5","3","3","5","3","4","5","5","5","4","4","3","5","3","4","5","4","3","5","7"
