user_id,app,task_id,task_name,completion_time_sec,success,errors_count,help_requests,notes,observer_id,order
U05,Deliveroo,T02,Aggiunta prodotto al carrello,96,true,0,0,demo inventato,OBS3,1
U05,Deliveroo,T03,Modifica carrello,67,true,1,1,demo inventato,OBS3,1
U05,Deliveroo,T04,Checkout,98,true,0,0,demo inventato,OBS3,1
U05,Deliveroo,T05,Tracking ordine,69,true,0,0,demo inventato,OBS3,1
U05,Glovo,T01,Ricerca ristorante,59,true,0,0,demo inventato,OBS3,2
U05,Glovo,T02,Aggiunta prodotto al carrello,105,true,1,0,demo inventato,OBS3,2
U05,Glovo,T03,Modifica carrello,76,true,0,0,demo inventato,OBS3,2
U05,Glovo,T04,Checkout,107,true,0,0,demo inventato,OBS3,2
U05,Glovo,T05,Tracking ordine,78,true,0,0,demo inventato,OBS3,2
U06,Deliveroo,T01,Ricerca ristorante,54,true,0,0,demo inventato,OBS1,1
U06,Deliveroo,T02,Aggiunta prodotto al carrello,100,true,1,0,demo inventato,OBS1,1
U06,Deliveroo,T03,Modifica carrello,71,true,0,0,demo inventato,OBS1,1
U06,Deliveroo,T04,Checkout,102,true,0,0,demo inventato,OBS1,1
U06,Deliveroo,T05,Tracking ordine,73,true,0,0,demo inventato,OBS1,1
U06,Glovo,T01,Ricerca ristorante,63,true,1,0,demo inventato,OBS1,2
U06,Glovo,T02,Aggiunta prodotto al carrello,109,true,0,0,demo inventato,OBS1,2
U06,Glovo,T03,Modifica carrello,80,true,0,0,demo inventato,OBS1,2
U06,Glovo,T04,Checkout,111,true,0,0,demo inventato,OBS1,2
U06,Glovo,T05,Tracking ordine,82,true,1,0,demo inventato,OBS1,2
U07,Glovo,T01,Ricerca ristorante,67,true,0,0,demo inventato,OBS2,1
U07,Glovo,T02,Aggiunta prodotto al carrello,113,true,0,0,demo inventato,OBS2,1
U07,Glovo,T03,Modifica carrello,84,true,0,0,demo inventato,OBS2,1
U07,Glovo,T04,Checkout,115,true,1,1,demo inventato,OBS2,1
U07,Glovo,T05,Tracking ordine,86,true,0,0,demo inventato,OBS2,1
U07,Deliveroo,T01,Ricerca ristorante,58,true,1,0,demo inventato,OBS2,2
U07,Deliveroo,T02,Aggiunta prodotto al carrello,104,true,0,0,demo inventato,OBS2,2
U07,Deliveroo,T03,Modifica carrello,75,true,0,0,demo inventato,OBS2,2
U07,Deliveroo,T04,Checkout,106,true,0,0,demo inventato,OBS2,2
U07,Deliveroo,T05,Tracking ordine,77,true,1,0,demo inventato,OBS2,2
U08,Glovo,T01,Ricerca ristorante,55,true,0,0,demo inventato,OBS3,1
U08,Glovo,T02,Aggiunta prodotto al carrello,101,true,0,0,demo inventato,OBS3,1
U08,Glovo,T03,Modifica carrello,72,true,1,1,demo inventato,OBS3,1
U08,Glovo,T04,Checkout,103,true,0,0,demo inventato,OBS3,1
U08,Glovo,T05,Tracking ordine,74,true,0,0,demo inventato,OBS3,1
U08,Deliveroo,T01,Ricerca ristorante,46,true,0,0,demo inventato,OBS3,2
U08,Deliveroo,T02,Aggiunta prodotto al carrello,92,true,0,0,demo inventato,OBS3,2
U08,Deliveroo,T03,Modifica carrello,63,true,0,0,demo inventato,OBS3,2
U08,Deliveroo,T04,Checkout,94,true,1,1,demo inventato,OBS3,2
U08,Deliveroo,T05,Tracking ordine,65,true,0,0,demo inventato,OBS3,2
U09,Glovo,T01,Ricerca ristorante,59,true,0,0,demo inventato,OBS1,1
U09,Glovo,T02,Aggiunta prodotto al carrello,105,true,1,0,demo inventato,OBS1,1
U09,Glovo,T03,Modifica carrello,76,true,0,0,demo inventato,OBS1,1
U09,Glovo,T04,Checkout,107,true,0,0,demo inventato,OBS1,1
U09,Glovo,T05,Tracking ordine,78,true,0,0,demo inventato,OBS1,1
U09,Deliveroo,T01,Ricerca ristorante,50,true,0,0,demo inventato,OBS1,2
U09,Deliveroo,T02,Aggiunta prodotto al carrello,96,true,0,0,demo inventato,OBS1,2
U09,Deliveroo,T03,Modifica carrello,67,true,1,1,demo inventato,OBS1,2
U09,Deliveroo,T04,Checkout,98,true,0,0,demo inventato,OBS1,2
U09,Deliveroo,T05,Tracking ordine,69,true,0,0,demo inventato,OBS1,2
U10,Glovo,T01,Ricerca ristorante,63,true,1,0,demo inventato,OBS2,1
U10,Glovo,T02,Aggiunta prodotto al carrello,109,true,0,0,demo inventato,OBS2,1
U10,Glovo,T03,Modifica carrello,80,true,0,0,demo inventato,OBS2,1
U10,Glovo,T04,Checkout,111,true,0,0,demo inventato,OBS2,1
U10,Glovo,T05,Tracking ordine,82,true,1,0,demo inventato,OBS2,1
U10,Deliveroo,T01,Ricerca ristorante,54,true,0,0,demo inventato,OBS2,2
U10,Deliveroo,T02,Aggiunta prodotto al carrello,100,true,1,0,demo inventato,OBS2,2
U10,Deliveroo,T03,Modifica carrello,71,true,0,0,demo inventato,OBS2,2
U10,Deliveroo,T04,Checkout,102,true,0,0,demo inventato,OBS2,2
U10,Deliveroo,T05,Tracking ordine,73,true,0,0,demo inventato,OBS2,2
U11,Glovo,T01,Ricerca ristorante,67,true,0,0,demo inventato,OBS3,1
U11,Glovo,T02,Aggiunta prodotto al carrello,113,true,0,0,demo inventato,OBS3,1
U11,Glovo,T03,Modifica carrello,84,true,0,0,demo inventato,OBS3,1
U11,Glovo,T04,Checkout,115,true,1,1,demo inventato,OBS3,1
U11,Glovo,T05,Tracking ordine,86,true,0,0,demo inventato,OBS3,1
U11,Deliveroo,T01,Ricerca ristorante,58,true,1,0,demo inventato,OBS3,2
U11,Deliveroo,T02,Aggiunta prodotto al carrello,104,true,0,0,demo inventato,OBS3,2
U11,Deliveroo,T03,Modifica carrello,75,true,0,0,demo inventato,OBS3,2
U11,Deliveroo,T04,Checkout,106,true,0,0,demo inventato,OBS3,2
U11,Deliveroo,T05,Tracking ordine,77,true,1,0,demo inventato,OBS3,2
U12,Glovo,T01,Ricerca ristorante,55,true,0,0,demo inventato,OBS1,1
U12,Glovo,T02,Aggiunta prodotto al carrello,101,true,0,0,demo inventato,OBS1,1
U12,Glovo,T03,Modifica carrello,72,true,1,1,demo inventato,OBS1,1
U12,Glovo,T04,Checkout,103,true,0,0,demo inventato,OBS1,1
U12,Glovo,T05,Tracking ordine,74,true,0,0,demo inventato,OBS1,1
U12,Deliveroo,T01,Ricerca ristorante,46,true,0,0,demo inventato,OBS1,2
U12,Deliveroo,T02,Aggiunta prodotto al carrello,92,true,0,0,demo inventato,OBS1,2
U12,Deliveroo,T03,Modifica carrello,63,true,0,0,demo inventato,OBS1,2
U12,Deliveroo,T04,Checkout,94,true,1,1,demo inventato,OBS1,2
U12,Deliveroo,T05,Tracking ordine,65,true,0,0,demo inventato,OBS1,2
