user_id,observer,local_user_id,app,task_id,task_label,completion_time_sec,completion_time_mmss,success,errors_count,help_requests,notes
U06,Valentina,U6,Deliveroo,T1,Task 1,35.88,00:35.88,TRUE,,,
U06,Valentina,U6,Deliveroo,T2,Task 2,41.12,00:41.12,TRUE,,,
U06,Valentina,U6,Deliveroo,T3,Task 3,58.19,00:58.19,TRUE,,,
U06,Valentina,U6,Glovo,T1,Task 1,22.1,00:22.10,TRUE,,,
U06,Valentina,U6,Glovo,T2,Task 2,28.4,00:28.40,TRUE,,,
U06,Valentina,U6,Glovo,T3,Task 3,39.55,00:39.55,TRUE,,,
U07,Jacopo,U1,Deliveroo,T1,Task 1,116.4,01:56.40,TRUE,,,
U07,Jacopo,U1,Deliveroo,T2,Task 2,101.53,01:41.53,TRUE,,,
U07,Jacopo,U1,Deliveroo,T3,Task 3,135.37,02:15.37,TRUE,,,
U07,Jacopo,U1,Glovo,T1,Task 1,45.26,00:45.26,TRUE,,,
U07,Jacopo,U1,Glovo,T2,Task 2,70.58,01:10.58,TRUE,,,
U07,Jacopo,U1,Glovo,T3,Task 3,52.64,00:52.64,TRUE,,,
U08,Jacopo,U2,Deliveroo,T1,Task 1,22.26,00:22.26,TRUE,,,
U08,Jacopo,U2,Deliveroo,T2,Task 2,59.24,00:59.24,TRUE,,,
U08,Jacopo,U2,Deliveroo,T3,Task 3,73.87,01:13.87,TRUE,,,
U08,Jacopo,U2,Glovo,T1,Task 1,17.83,00:17.83,TRUE,,,
U08,Jacopo,U2,Glovo,T2,Task 2,84.48,01:24.48,TRUE,,,
U08,Jacopo,U2,Glovo,T3,Task 3,40.59,00:40.59,TRUE,,,
U09,Jacopo,U3,Deliveroo,T1,Task 1,39.92,00:39.92,TRUE,,,
U09,Jacopo,U3,Deliveroo,T2,Task 2,70.44,01:10.44,TRUE,,,
U09,Jacopo,U3,Deliveroo,T3,Task 3,69.61,01:09.61,TRUE,,,
U09,Jacopo,U3,Glovo,T1,Task 1,34.71,00:34.71,TRUE,,,
U09,Jacopo,U3,Glovo,T2,Task 2,161.54,02:41.54,TRUE,,,
U09,Jacopo,U3,Glovo,T3,Task 3,33.75,00:33.75,TRUE,,,
U10,Jacopo,U4,Deliveroo,T1,Task 1,47.46,00:47.46,TRUE,,,
U10,Jacopo,U4,Deliveroo,T2,Task 2,107.65,01:47.65,TRUE,,,
U10,Jacopo,U4,Deliveroo,T3,Task 3,148.23,02:28.23,TRUE,,,
U10,Jacopo,U4,Glovo,T1,Task 1,41.13,00:41.13,TRUE,,,
U10,Jacopo,U4,Glovo,T2,Task 2,116.89,01:56.89,TRUE,,,
U10,Jacopo,U4,Glovo,T3,Task 3,120.5,02:00.50,TRUE,,,
U11,Jacopo,U5,Deliveroo,T1,Task 1,40.41,00:40.41,TRUE,,,
U11,Jacopo,U5,Deliveroo,T2,Task 2,49.31,00:49.31,TRUE,,,
U11,Jacopo,U5,Deliveroo,T3,Task 3,23.08,00:23.08,TRUE,,,
U11,Jacopo,U5,Glovo,T1,Task 1,18.24,00:18.24,TRUE,,,
U11,Jacopo,U5,Glovo,T2,Task 2,61.73,01:01.73,TRUE,,,
U11,Jacopo,U5,Glovo,T3,Task 3,36.25,00:36.25,TRUE,,,
U12,Jacopo,U6,Deliveroo,T1,Task 1,32.49,00:32.49,TRUE,,,
U12,Jacopo,U6,Deliveroo,T2,Task 2,40.92,00:40.92,TRUE,,,
U12,Jacopo,U6,Deliveroo,T3,Task 3,56.24,00:56.24,TRUE,,,
U12,Jacopo,U6,Glovo,T1,Task 1,24.91,00:24.91,TRUE,,,
U12,Jacopo,U6,Glovo,T2,Task 2,36.67,00:36.67,TRUE,,,
U12,Jacopo,U6,Glovo,T3,Task 3,42.84,00:42.84,TRUE,,,
U13,Samuele,U1,Deliveroo,T1,Task 1,31.93,00:31.93,TRUE,,,
U13,Samuele,U1,Deliveroo,T2,Task 2,28.28,00:28.28,TRUE,,,
U13,Samuele,U1,Deliveroo,T3,Task 3,31.98,00:31.98,TRUE,,,
U13,Samuele,U1,Glovo,T1,Task 1,32.82,00:32.82,TRUE,,,
U13,Samuele,U1,Glovo,T2,Task 2,17.69,00:17.69,TRUE,,,
U13,Samuele,U1,Glovo,T3,Task 3,38.52,00:38.52,TRUE,,,
U14,Samuele,U2,Deliveroo,T1,Task 1,34.48,00:34.48,TRUE,,,
U14,Samuele,U2,Deliveroo,T2,Task 2,29.91,00:29.91,TRUE,,,
U14,Samuele,U2,Deliveroo,T3,Task 3,92.78,01:32.78,TRUE,,,
U14,Samuele,U2,Glovo,T1,Task 1,22.74,00:22.74,TRUE,,,
U14,Samuele,U2,Glovo,T2,Task 2,161.22,02:41.22,TRUE,,,
U14,Samuele,U2,Glovo,T3,Task 3,13.3,00:13.30,TRUE,,,
U15,Samuele,U3,Deliveroo,T1,Task 1,18.32,00:18.32,TRUE,,,
U15,Samuele,U3,Deliveroo,T2,Task 2,29.53,00:29.53,TRUE,,,
U15,Samuele,U3,Deliveroo,T3,Task 3,63.63,01:03.63,TRUE,,,
U15,Samuele,U3,Glovo,T1,Task 1,21.07,00:21.07,TRUE,,,
U15,Samuele,U3,Glovo,T2,Task 2,62.99,01:02.99,TRUE,,,
U15,Samuele,U3,Glovo,T3,Task 3,15.94,00:15.94,TRUE,,,
U16,Samuele,U4,Deliveroo,T1,Task 1,69.97,01:09.97,TRUE,,,
U16,Samuele,U4,Deliveroo,T2,Task 2,81.09,01:21.09,TRUE,,,
U16,Samuele,U4,Deliveroo,T3,Task 3,170.02,02:50.02,TRUE,,,
U16,Samuele,U4,Glovo,T1,Task 1,42.52,00:42.52,TRUE,,,
U16,Samuele,U4,Glovo,T2,Task 2,70.0,01:10.00,TRUE,,,
U16,Samuele,U4,Glovo,T3,Task 3,26.05,00:26.05,TRUE,,,
U17,Samuele,U5,Deliveroo,T1,Task 1,43.56,00:43.56,TRUE,,,
U17,Samuele,U5,Deliveroo,T2,Task 2,33.86,00:33.86,TRUE,,,
U17,Samuele,U5,Deliveroo,T3,Task 3,50.64,00:50.64,TRUE,,,
U17,Samuele,U5,Glovo,T1,Task 1,25.3,00:25.30,TRUE,,,
U17,Samuele,U5,Glovo,T2,Task 2,55.29,00:55.29,TRUE,,,
U17,Samuele,U5,Glovo,T3,Task 3,14.51,00:14.51,TRUE,,,
U18,Samuele,U6,Deliveroo,T1,Task 1,26.88,00:26.88,TRUE,,,
U18,Samuele,U6,Deliveroo,T2,Task 2,29.37,00:29.37,TRUE,,,
U18,Samuele,U6,Deliveroo,T3,Task 3,44.42,00:44.42,TRUE,,,
U18,Samuele,U6,Glovo,T1,Task 1,19.08,00:19.08,TRUE,,,
U18,Samuele,U6,Glovo,T2,Task 2,41.17,00:41.17,TRUE,,,
U18,Samuele,U6,Glovo,T3,Task 3,16.33,00:16.33,TRUE,,,
U19,Riccardo,U1,Deliveroo,T1,Task 1,23.39,00:23.39,TRUE,,,
U19,Riccardo,U1,Deliveroo,T2,Task 2,46.28,00:46.28,TRUE,,,
U19,Riccardo,U1,Deliveroo,T3,Task 3,129.59,02:09.59,TRUE,,,
U19,Riccardo,U1,Glovo,T1,Task 1,32.04,00:32.04,TRUE,,,
U19,Riccardo,U1,Glovo,T2,Task 2,59.48,00:59.48,TRUE,,,
U19,Riccardo,U1,Glovo,T3,Task 3,76.87,01:16.87,TRUE,,,
U20,Riccardo,U2,Deliveroo,T1,Task 1,22.26,00:22.26,TRUE,,,
U20,Riccardo,U2,Deliveroo,T2,Task 2,59.24,00:59.24,TRUE,,,
U20,Riccardo,U2,Deliveroo,T3,Task 3,73.87,01:13.87,TRUE,,,
U20,Riccardo,U2,Glovo,T1,Task 1,17.83,00:17.83,TRUE,,,
U20,Riccardo,U2,Glovo,T2,Task 2,84.48,01:24.48,TRUE,,,
U20,Riccardo,U2,Glovo,T3,Task 3,40.59,00:40.59,TRUE,,,
U21,Riccardo,U3,Deliveroo,T1,Task 1,19.02,00:19.02,TRUE,,,
U21,Riccardo,U3,Deliveroo,T2,Task 2,70.65,01:10.65,TRUE,,,
U21,Riccardo,U3,Deliveroo,T3,Task 3,87.24,01:27.24,TRUE,,,
U21,Riccardo,U3,Glovo,T1,Task 1,29.16,00:29.16,TRUE,,,
U21,Riccardo,U3,Glovo,T2,Task 2,47.01,00:47.01,TRUE,,,
U21,Riccardo,U3,Glovo,T3,Task 3,36.2,00:36.20,TRUE,,,
U22,Riccardo,U4,Deliveroo,T1,Task 1,89.82,01:29.82,TRUE,,,
U22,Riccardo,U4,Deliveroo,T2,Task 2,78.83,01:18.83,TRUE,,,
U22,Riccardo,U4,Deliveroo,T3,Task 3,166.98,02:46.98,TRUE,,,
U22,Riccardo,U4,Glovo,T1,Task 1,25.13,00:25.13,TRUE,,,
U22,Riccardo,U4,Glovo,T2,Task 2,32.57,00:32.57,TRUE,,,
U22,Riccardo,U4,Glovo,T3,Task 3,40.49,00:40.49,TRUE,,,
U23,Riccardo,U5,Deliveroo,T1,Task 1,61.0,01:01.00,TRUE,,,
U23,Riccardo,U5,Deliveroo,T2,Task 2,83.01,01:23.01,TRUE,,,
U23,Riccardo,U5,Deliveroo,T3,Task 3,49.66,00:49.66,TRUE,,,
U23,Riccardo,U5,Glovo,T1,Task 1,24.27,00:24.27,TRUE,,,
U23,Riccardo,U5,Glovo,T2,Task 2,31.92,00:31.92,TRUE,,,
U23,Riccardo,U5,Glovo,T3,Task 3,37.52,00:37.52,TRUE,,,
U24,Riccardo,U6,Deliveroo,T1,Task 1,119.2,01:59.20,TRUE,,,
U24,Riccardo,U6,Deliveroo,T2,Task 2,40.55,00:40.55,TRUE,,,
U24,Riccardo,U6,Deliveroo,T3,Task 3,69.02,01:09.02,TRUE,,,
U24,Riccardo,U6,Glovo,T1,Task 1,75.87,01:15.87,TRUE,,,
U24,Riccardo,U6,Glovo,T2,Task 2,37.69,00:37.69,TRUE,,,
U24,Riccardo,U6,Glovo,T3,Task 3,14.22,00:14.22,TRUE,,,
